0,47,Management Board Advisers Integra Micro Systems,ORG
0,21,Integra Micro Systems,ORG
4,11,Integra,ORG
6,23,Assisted Services,ORG
0,3,ICR,ORG
0,7,LoanBOT,PERSON
49,72,Government BFSI Telecom,ORG
0,17,Mahesh Kumar Jain,PERSON
0,6,Mahesh,PERSON
37,44,Integra,ORG
73,80,Integra,ORG
0,12,Vimla Jogesh,PERSON
0,5,Vimla,ORG
53,60,Integra,ORG
120,124,OEMS,ORG
0,5,Vimla,PERSON
141,151,Government,ORG
0,14,Ashwin Shankar,PERSON
0,6,Ashwin,PERSON
171,178,Integra,ORG
17,31,Integra Ashwin,PERSON
61,65,HSBC,ORG
69,100,Credit Personal Private Banking,ORG
0,10,Manjunatha,PERSON
109,116,Integra,ORG
0,10,Manjunatha,PERSON
92,99,Integra,ORG
0,4,Siva,PERSON
150,152,RD,ORG
185,192,Integra,ORG
106,110,Siva,ORG
149,155,iMFAST,ORG
0,20,Bhaskar Jyoti Phukan,PERSON
0,7,Bhaskar,PERSON
17,32,Integra Bhaskar,ORG
60,67,Physics,ORG
0,23,Rishi GK Head Materials,PERSON
0,5,Rishi,PERSON
96,109,Integra Rishi,ORG
217,240,Process Control Systems,ORG
60,64,Ravi,PERSON
141,145,Ravi,PERSON
0,4,Ravi,PERSON
0,16,Sandeep Kasliwal,PERSON
0,7,Sandeep,PERSON
76,83,Sandeep,PERSON
110,117,Integra,ORG
152,182,the Commerce Corporate Affairs,ORG
0,12,Rishabh Jain,PERSON
0,7,Rishabh,ORG
5,19,Krishna Murthy,PERSON
5,19,Krishna Murthy,PERSON
26,33,Integra,ORG
138,184,Public Sector Private Sector Government Sector,ORG
194,239,Finance Management Costing General Management,ORG
0,22,Nitin Shantilal Phuria,PERSON
0,5,Nitin,PERSON
13,20,Integra,ORG
132,149,Archival Database,ORG
217,224,Integra,ORG
12,17,Nitin,ORG
133,206,Tanzania Revenue Authority DataWarehouse Uganda Communications Commission,ORG
6,19,K Subramaniam,PERSON
4,15,Subramaniam,PERSON
39,67,the Indian Institute Science,ORG
322,329,Integra,ORG
4,19,V Gopalakrishna,PERSON
4,8,Gopi,PERSON
221,228,Integra,ORG
385,416,Integra Micro Software Services,ORG
418,424,P ) Ltd,ORG
4,8,Gopi,PERSON
36,52,Jataayu Software,ORG
139,147,Wireless,ORG
189,209,Comviva Technologies,ORG
404,457,Alumni Association Indian Institute Science Bangalore,ORG
505,511,MS / PhD,ORG
524,562,the Indian Institute Science Bangalore,ORG
9,16,Integra,ORG
21,25,Gopi,PERSON
48,75,National Informatics Centre,ORG
77,119,NIC ) Processor Systems India Canada Centre,ORG
124,145,Remote Sensing Ottawa,ORG
0,11,Jyoti Sahai,PERSON
0,5,Jyoti,PERSON
137,142,Jyoti,ORG
151,158,Integra,ORG
225,265,Kavaii Business Analytics India Pvt . Ltd,ORG
40,53,Integra Jyoti,ORG
123,212,Bank India TCS Birla Horizon International IBM Global Services India vMoksha Technologies,ORG
220,243,Deutsche Software India,ORG
22,39,Banking Analytics,ORG
0,14,Raj Kesarimall,PERSON
78,102,Sales Marketing Business,ORG
140,165,India Europe Americas Raj,ORG
26,29,Raj,PERSON
53,73,Head Europe Americas,ORG
77,97,Comviva Technologies,ORG
222,246,Comviva Technologies Raj,ORG
265,281,Jataayu Software,ORG
378,398,Comviva Technologies,ORG
3,38,Sudhakar Graduate IIT Kharagpur PhD,ORG
58,72,IISc Bangalore,ORG
92,106,Tiger Software,ORG
176,182,Satyam,ORG
301,304,PPP,ORG
315,337,Police Hospitals Legal,ORG
3,11,Sudhakar,PERSON
24,55,Cooptions Technologies Pvt . Ltd,ORG
4,12,Sudhakar,PERSON
27,53,Namma Bengaluru Foundation,ORG
127,135,i25 RMCS,ORG
0,22,Rajeev Bhagwat Advisor,PERSON
0,6,Rajeev,PERSON
15,22,Integra,ORG
95,108,XL Management,ORG
143,150,Integra,ORG
4,11,Integra,ORG
0,39,Integra Micro Software Services ( P ) Ltd,ORG
0,34,Jakkur Technoparks Private Limited,ORG
0,34,i25 Rural Mobile Commerce Services,ORG
0,34,i25 Rural Mobile Commerce Services,ORG
0,29,Integra Micro Systems ( P ) Ltd,ORG
0,7,Integra,ORG
80,95,Government BFSI,ORG
0,29,Integra Micro Systems ( P ) Ltd,ORG
0,8,Facebook,ORG
37,75,Andhra Pradesh Arunachal Pradesh Assam,ORG
7,28,Integra Micro Systems,ORG
30,36,P ) Ltd,ORG
