Management Board,ORG
Integra Micro Systems,ORG
Integra Micro Systems,ORG
Integra,ORG
CSR,ORG
Banking Payment Systems,ORG
Agent Assisted Services,ORG
Biometric Enabler Systems,ORG
Branchless Banking,ORG
Biometric Solutions,ORG
the Government BFSI Telecom,ORG
Mahesh Kumar Jain,PERSON
Mahesh,PERSON
Integra,ORG
Integra,ORG
eGovernance,ORG
Vimla,ORG
Integra,ORG
OEMS,ORG
Vimla,ORG
Government,ORG
Ashwin Shankar,PERSON
EGovernance Solutions,ORG
Ashwin,PERSON
Integra,ORG
Integra Ashwin,ORG
HSBC,ORG
Credit Personal Private Banking,ORG
Manjunatha,ORG
Integra,ORG
Manjunatha,ORG
Integra,ORG
Siva,PERSON
RD,ORG
Integra,ORG
Siva,ORG
Bhaskar Jyoti Phukan,PERSON
Bhaskar,PERSON
Integra Bhaskar,ORG
Physics,ORG
Rishi,PERSON
Integra Rishi,ORG
Government,ORG
Process Control Systems,ORG
Ravi,PERSON
Ravi,PERSON
Ravi,ORG
Sandeep Kasliwal,PERSON
Sandeep,PERSON
Sandeep,PERSON
Integra,ORG
the Commerce Corporate Affairs,ORG
Rishabh,ORG
A.R. Krishna Murthy,PERSON
A.R. Krishna Murthy,PERSON
Integra,ORG
Public Sector Private Sector Government Sector,ORG
Finance Management Costing General Management,ORG
Nitin Shantilal Phuria,PERSON
Nitin,PERSON
Integra,ORG
Archival Database,ORG
Integra,ORG
Financial Inclusion Gateway System,ORG
Aadhaar Enabled Payment System,ORG
MicroATM,ORG
Aadhaar Services for AUA/KUA,ORG
Nitin,ORG
African Government,ORG
Tanzania Revenue Authority,ORG
DataWarehouse Uganda Communications Commission,ORG
D K,PERSON
Subramaniam Board,ORG
Subramaniam,PERSON
the Indian Institute Science,ORG
Integra,ORG
V Gopalakrishna,PERSON
Gopi,PERSON
Integra,ORG
Integra Micro Software Services,ORG
P) Ltd,ORG
Gopi,PERSON
Jataayu Software,ORG
Comviva Technologies,ORG
Alumni Association Indian Institute Science Bangalore,ORG
MS/PhD,ORG
the Indian Institute Science Bangalore,ORG
Integra,ORG
Gopi,PERSON
National Informatics Centre,ORG
NIC) Processor Systems India Canada Centre for Remote Sensing Ottawa,ORG
Jyoti Sahai Advisor,PERSON
Jyoti,PERSON
Jyoti,ORG
Integra,ORG
Kavaii Business Analytics India Pvt. Ltd.,ORG
Integra Jyoti,ORG
Bank India TCS Birla Horizon International IBM Global Services India vMoksha Technologies,ORG
Deutsche Software India,ORG
Banking Analytics,ORG
Raj Kesarimall,PERSON
the IT Telecom,ORG
Sales Marketing Business,ORG
India Europe Americas Raj,ORG
Raj,PERSON
Head Europe Americas,ORG
Comviva Technologies,ORG
Comviva Technologies Raj,ORG
Jataayu Software,ORG
Comviva Technologies,ORG
V Sudhakar,PERSON
Sudhakar,PERSON
IIT Kharagpur PhD,ORG
IISc Bangalore,ORG
Tiger Software,ORG
Satyam,ORG
PPP,ORG
Police Hospitals Legal,ORG
Sudhakar,PERSON
Cooptions Technologies Pvt. Ltd.,ORG
Sudhakar,PERSON
Namma Bengaluru Foundation,ORG
RMCS,ORG
Rajeev Bhagwat Advisor,PERSON
Rajeev,PERSON
Integra,ORG
XL Management,ORG
Integra,ORG
Integra,ORG
CSR,ORG
Group Companies,ORG
Integra Micro Software Services,ORG
P) Ltd.,ORG
Jakkur Technoparks Private Limited,ORG
Partner Company,ORG
i25 Rural Mobile Commerce Services,ORG
i25 Rural Mobile Commerce Services,ORG
Integra Micro Systems,ORG
P) Ltd.,ORG
Integra,ORG
Government,ORG
Integra Micro Systems,ORG
P) Ltd.,ORG
Facebook,ORG
Integra Micro Systems,ORG
P) Ltd,ORG
